DCS-ID;SC-ID;SYSTEM;NAME;CAL-ID;W-CABLE;FLANGE;BOARD;CHAN;X;Y;Z;COMMENT
47890261082394;TE0001;TGRAD;;39666;1.1;14.4.1;1;1;4;7,385;4;
47890277859610;TE0002;TGRAD;;39665;1.1;14.4.1;1;2;4;7,267;4;
47890294636826;TE0003;TGRAD;;39664;1.1;14.4.1;1;3;4;7,149;4;
47890311414042;TE0004;TGRAD;;39667;1.1;14.4.1;1;4;4;7,031;4;
47890328191258;TE0005;TGRAD;;39661;1.1;14.4.1;1;5;4;6,913;4;
47890344968474;TE0006;TGRAD;;39660;1.1;14.4.1;1;6;4;6,795;4;
47890361745690;TE0007;TGRAD;;39655;1.2;14.4.2;1;1;4;6,677;4;
47890378522906;TE0008;TGRAD;;39654;1.2;14.4.2;1;2;4;6,559;4;
47890395300122;TE0009;TGRAD;;39653;1.2;14.4.2;1;3;4;6,441;4;
47890412077338;TE0010;TGRAD;;39652;1.2;14.4.2;1;4;4;6,323;4;
47890428854554;TE0011;TGRAD;;99999;1.2;14.4.2;1;5;4;6,205;4;
47890445631770;TE0012;TGRAD;;39651;1.2;14.4.2;1;6;4;6,087;4;
47890462408986;TE0013;TGRAD;;39650;1.3;14.4.3;1;1;4;5,969;4;
47890479186202;TE0014;TGRAD;;40526;1.3;14.4.3;1;2;4;5,851;4;
47890495963418;TE0015;TGRAD;;40525;1.3;14.4.3;1;3;4;5,733;4;
47890512740634;TE0016;TGRAD;;40524;1.3;14.4.3;1;4;4;5,615;4;
47890529517850;TE0017;TGRAD;;39659;1.3;14.4.3;1;5;4;5,497;4;
47890546295066;TE0018;TGRAD;;39658;1.3;14.4.3;1;6;4;5,379;4;
47890563072282;TE0019;TGRAD;;39657;1.4;14.4.4;1;1;4;5,143;4;
47890579849498;TE0020;TGRAD;;39649;1.4;14.4.4;1;2;4;4,907;4;
47890596626714;TE0021;TGRAD;;39648;1.4;14.4.4;1;3;4;4,671;4;
47890613403930;TE0022;TGRAD;;39647;1.4;14.4.4;1;4;4;4,435;4;
47890630181146;TE0023;TGRAD;;39646;1.4;14.4.4;1;5;4;4,199;4;
47890646958362;TE0024;TGRAD;;39644;1.4;14.4.4;1;6;4;3,963;4;
47890663735578;TE0025;TGRAD;;39630;2.1;14.4.5;2;1;4;3,727;4;
47890680512794;TE0026;TGRAD;;39629;2.1;14.4.5;2;2;4;3,491;4;
47890697290010;TE0027;TGRAD;;39628;2.1;14.4.5;2;3;4;3,255;4;
47890714067226;TE0028;TGRAD;;39627;2.1;14.4.5;2;4;4;3,019;4;
47890730844442;TE0029;TGRAD;;39626;2.1;14.4.5;2;5;4;2,783;4;
47890747621658;TE0030;TGRAD;;39625;2.1;14.4.5;2;6;4;2,547;4;
47890764398874;TE0031;TGRAD;;39624;2.2;14.4.6;2;1;4;2,311;4;
47890781176090;TE0032;TGRAD;;39623;2.2;14.4.6;2;2;4;2,193;4;
47890797953306;TE0033;TGRAD;;39622;2.2;14.4.6;2;3;4;2,075;4;
47890814730522;TE0034;TGRAD;;39621;2.2;14.4.6;2;4;4;1,957;4;
47890831507738;TE0035;TGRAD;;39620;2.2;14.4.6;2;5;4;1,839;4;
47890848284954;TE0036;TGRAD;;39619;2.2;14.4.6;2;6;4;1,721;4;
47890865062170;TE0037;TGRAD;;40533;2.3;14.4.7;2;1;4;1,603;4;
47890881839386;TE0038;TGRAD;;40530;2.3;14.4.7;2;2;4;1,485;4;
47890898616602;TE0039;TGRAD;;40531;2.3;14.4.7;2;3;4;1,367;4;
47890915393818;TE0040;TGRAD;;40529;2.3;14.4.7;2;4;4;1,249;4;
47890932171034;TE0041;TGRAD;;39614;2.3;14.4.7;2;5;4;1,131;4;
47890948948250;TE0042;TGRAD;;39613;2.3;14.4.7;2;6;4;1,013;4;
47890965725466;TE0043;TGRAD;;39612;2.4;14.4.8;2;1;4;0,895;4;
47890982502682;TE0044;TGRAD;;39611;2.4;14.4.8;2;2;4;0,777;4;
47890999279898;TE0045;TGRAD;;39610;2.4;14.4.8;2;3;4;0,659;4;
47891016057114;TE0046;TGRAD;;39609;2.4;14.4.8;2;4;4;0,541;4;
47891032834330;TE0047;TGRAD;;39608;2.4;14.4.8;2;5;4;0,423;4;
47891049611546;TE0048;TGRAD;;39607;2.4;14.4.8;2;6;4;0,305;4;
47891066388762;TE0049;HAWAI;;40000;;;;;-4;0,643;-4;
47891083165978;TE0050;HAWAI;;40001;;;;;-4;0,571;-4;
47891099943194;TE0051;HAWAI;;40002;;;;;-4;0,470;-4;
47891116720410;TE0052;HAWAI;;40003;;;;;-4;0,368;-4;
47891133497626;TE0053;HAWAI;;40004;;;;;-4;0,267;-4;
47891150274842;TE0054;HAWAI;;40005;;;;;-4;0,165;-4;
47891167052058;TE0055;HAWAI;;40006;;;;;-4;3,619;-4;
47891183829274;TE0056;HAWAI;;40007;;;;;-4;3,111;-4;
47891200606490;TE0057;HAWAI;;40008;;;;;-4;2,603;-4;
47891217383706;TE0058;HAWAI;;40009;;;;;-4;2,095;-4;
47891234160922;TE0059;HAWAI;;40010;;;;;-4;1,587;-4;
47891250938138;TE0060;HAWAI;;40011;;;;;-4;1,079;-4;
47891267715354;TE0061;HAWAI;;40012;;;;;-4;6,667;-4;
47891284492570;TE0062;HAWAI;;40013;;;;;-4;6,159;-4;
47891301269786;TE0063;HAWAI;;40014;;;;;-4;5,651;-4;
47891318047002;TE0064;HAWAI;;40015;;;;;-4;5,143;-4;
47891334824218;TE0065;HAWAI;;40016;;;;;-4;4,635;-4;
47891351601434;TE0066;HAWAI;;40017;;;;;-4;4,127;-4;
47891368378650;TE0067;HAWAI;;40018;;;;;-4;7,7;-4;
47891385155866;TE0068;HAWAI;;40019;;;;;-4;7,582;-4;
47891401933082;TE0069;HAWAI;;40020;;;;;-4;7,480;-4;
47891418710298;TE0070;HAWAI;;40021;;;;;-4;7,379;-4;
47891435487514;TE0071;HAWAI;;40022;;;;;-4;7,277;-4;
47891452264730;TE0072;HAWAI;;40023;;;;;-4;7,175;-4;
47891469041946;TE0073;PP;PP2;37127;;;;;-4;0,5;0;
47891485819162;TE0074;PP;PP1;37142;;;;;-4;0,5;0;
47891502596378;TE0075;EMPTY;;40026;;;;;;;;
47891519373594;TE0076;EMPTY;;40027;;;;;;;;
47891536150810;TE0077;EMPTY;;40028;;;;;;;;
47891552928026;TE0078;EMPTY;;40029;;;;;;;;
47891569705242;TE0079;PRM;PRM-1;48733;;;;;-3;7;-4;
47891586482458;TE0080;PRM;PRM-2;49323;;;;;-3;6;-4;
47891603259674;TE0081;PRM;PRM-3;49324;;;;;-3;5;-4;
47891620036890;TE0082;PRM;PRM-4;48754;;;;;-3;4;-4;
47891636814106;TE0083;PRM;PRM-5;48841;;;;;-3;3;-4;
47891653591322;TE0084;PRM;PRM-6;48836;;;;;-3;2;-4;
47891670368538;TE0085;PIPE;1-I;49319;;;;;2,87;0,3;-3,061;
47891687145754;TE0086;PIPE;1-U;39671;;;;;2,87;0,3;-3,061;
47891703922970;TE0087;PIPE;1-M;39631;;;;;0,360;0,3;-3,061;
47891720700186;TE0088;PIPE;2-I;49320;;;;;2,87;0,3;-1,021;
47891737477402;TE0089;PIPE;2-U;37131;;;;;2,87;0,3;-1,021;
47891754254618;TE0090;PIPE;2-M;39670;;;;;-2,1;0,3;-1,021;
47891771031834;TE0091;PIPE;3-I;49321;;;;;2,87;0,3;1,019;
47891787809050;TE0092;PIPE;3-U;37136;;;;;2,87;0,3;1,019;
47891804586266;TE0093;PIPE;3-M;37130;;;;;0,360;0,3;1,019;
47891821363482;TE0094;PIPE;4-I;49322;;;;;2,87;0,3;3,058;
47891838140698;TE0095;PIPE;4-U;39669;;;;;2,87;0,3;3,058;
47891854917914;TE0096;PIPE;4-M;37133;;;;;-2,1;0,3;3,058;
47891871695130;TE0097;TLIQ;L6;40048;;;;;;7,290;;
47891888472346;TE0098;TLIQ;L5;40049;;;;;;7,310;;
47891905249562;TE0099;TLIQ;L4;40050;;;;;;7,470;;
47891922026778;TE0100;TLIQ;L3;40051;;;;;;7,490;;
47891938803994;TE0101;TLIQ;L2;40052;;;;;;7,510;;
47891955581210;TE0102;TLIQ;L1;40053;;;;;;7,530;;
47891972358426;TE0103;FLOOR;F1;40054;;;;;;;;
47891989135642;TE0104;FLOOR;F2;40055;;;;;;;;
47892005912858;TE0105;FLOOR;F3;40056;;;;;;;;
47892022690074;TE0106;FLOOR;F4;40057;;;;;;;;
47892039467290;TE0107;FLOOR;F5;40058;;;;;;;;
47892056244506;TE0108;FLOOR;F6;40059;;;;;;;;
47892073021722;TE0109;FLOOR;F7;40060;;;;;;;;
